ФИО,Телефон,Email,№ клиента,Создан,Отв. менеджер,Источник клиента,Записей,Посещений,Дата перв посещ кл,Дата посл посещ кл,"Срок посещ, дн","Срок жизни кл от созд до посл посещ, дн",Статус ученика,Филиал ученика,"Родитель (имя, телефон)",Подписан на рассылку,VK,Не присылать автоуведомления,Возраст,Дата рождения
Ученик_1,79034126396,student1@example.com,1,23.02.2025,Анна,Сайт,6,5,01.03.2025,07.04.2025,37,43,Клиент,Основной,,Да,vk.com/id123,Да,15,25.03.2011
Ученик_2,79482334538,student2@example.com,2,15.04.2024,Юлиана,Друг,8,6,23.04.2024,11.07.2024,79,87,Бывший клиент,Южный,Елена,Нет,vk.com/id123,Нет,10,07.12.2015
Ученик_3,79109747451,student3@example.com,3,24.09.2024,Дмитрий,Реклама,5,5,02.10.2024,05.12.2024,64,72,Клиент,Основной,Елена,Да,vk.com/id123,Да,10,01.04.2016
Ученик_4,79990307112,student4@example.com,4,31.01.2025,Ольга,Сайт,4,3,02.02.2025,05.04.2025,62,64,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,16,05.10.2009
Ученик_5,79830075810,student5@example.com,5,12.11.2024,Ольга,Друг,10,8,26.11.2024,16.02.2025,82,96,Клиент,Северный,Елена,Да,vk.com/id123,Нет,16,07.11.2009
Ученик_6,79397478786,student6@example.com,6,29.03.2025,Дмитрий,Давно знаю,8,6,03.04.2025,03.05.2025,30,35,Клиент,Северный,,Нет,vk.com/id123,Нет,11,07.12.2014
Ученик_7,79407437181,student7@example.com,7,27.07.2024,Анна,Давно знаю,9,8,28.07.2024,22.10.2024,86,87,Клиент,Северный,Елена,Да,vk.com/id123,Да,11,20.11.2014
Ученик_8,79864411347,student8@example.com,8,19.12.2024,Анна,Друг,7,3,02.01.2025,24.02.2025,53,67,Бывший клиент,Северный,Елена,Да,vk.com/id123,Нет,10,13.05.2015
Ученик_9,79949921299,student9@example.com,9,21.07.2025,Ольга,Реклама,3,3,30.07.2025,23.09.2025,55,64,Клиент,Южный,,Нет,,Нет,10,02.03.2016
Ученик_10,79964029981,student10@example.com,10,08.08.2024,Анна,Реклама,3,3,19.08.2024,29.10.2024,71,82,Клиент,Южный,Елена,Нет,,Нет,14,22.11.2011
Ученик_11,79673715057,student11@example.com,11,15.04.2025,Дмитрий,Реклама,6,6,26.04.2025,22.06.2025,57,68,Клиент,Основной,,Да,vk.com/id123,Нет,12,14.12.2013
Ученик_12,79594021782,student12@example.com,12,31.10.2025,Юлиана,Друг,6,2,06.11.2025,13.12.2025,37,43,Бывший клиент,Основной,Елена,Нет,,Нет,10,01.09.2015
Ученик_13,79315143362,student13@example.com,13,09.11.2025,Ольга,Друг,6,3,19.11.2025,21.12.2025,32,42,Бывший клиент,Северный,Елена,Нет,vk.com/id123,Нет,13,06.02.2013
Ученик_14,79164109919,student14@example.com,14,16.03.2025,Анна,Сайт,4,4,27.03.2025,23.06.2025,88,99,Клиент,Северный,Елена,Да,,Нет,13,04.04.2013
Ученик_15,79120117054,student15@example.com,15,01.02.2026,Юлиана,Друг,7,7,08.02.2026,20.04.2026,71,78,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,12,03.07.2013
Ученик_16,79876198296,student16@example.com,16,26.09.2024,Юлиана,Реклама,7,5,03.10.2024,03.11.2024,31,38,Клиент,Основной,,Да,vk.com/id123,Да,14,31.10.2011
