client_id,full_name,age,birth_date,phone,email,responsible_manager,source,created_date,total_enrollments,total_attendances,first_attendance_date,last_attendance_date,attendance_days_span,lifetime_from_creation_to_last_attendance,student_status,branch,parent_info,subscribed_to_newsletter,vk,no_auto_notifications,avg_score,score_trend,academic_risk,attendance_rate,avg_lesson_attendance,attendance_trend,days_since_last_attendance,lifetime_days,age_group,has_parent,subscribed,has_vk,communication_count,avg_duration_lesson,score_volatility
1,Ученик_1,15,25.03.2011,79034126396,student1@example.com,Анна,Сайт,2025-02-23,6,5,2025-01-03,2025-07-04,37,43,Клиент,Основной,,Да,vk.com/id123,1,3.61,-0.006054498738891646,0,0.8333333333333334,0.8333333333333334,0.0,211,403,13-15,False,1,True,1,1.5,0.9476788686550093
2,Ученик_2,10,07.12.2015,79482334538,student2@example.com,Юлиана,Друг,2024-04-15,8,6,,2024-11-07,79,87,Бывший клиент,Южный,Елена,Нет,vk.com/id123,0,1.0,5.170750476017091e-18,1,0.75,0.75,0.0,483,717,10-12,True,0,True,1,1.3125,0.0
3,Ученик_3,10,01.04.2016,79109747451,student3@example.com,Дмитрий,Реклама,2024-09-24,5,5,2024-02-10,2024-05-12,64,72,Клиент,Основной,Елена,Да,vk.com/id123,1,1.0,-4.950834215148902e-18,1,1.0,1.0,0.0,600,555,10-12,True,1,True,1,1.4,0.0
4,Ученик_4,16,05.10.2009,79990307112,student4@example.com,Ольга,Сайт,2025-01-31,4,3,2025-02-02,2025-05-04,62,64,Клиент,Северный,Елена,Нет,vk.com/id123,0,2.72,-0.012892176511314348,1,0.75,0.75,0.0,212,426,16-18,True,0,True,1,1.5,0.9683318990236078
5,Ученик_5,16,07.11.2009,79830075810,student5@example.com,Ольга,Друг,2024-11-12,10,8,,,82,96,Клиент,Северный,Елена,Да,vk.com/id123,0,1.0,-2.0986922916354875e-18,1,0.8,0.8,0.0,213,506,16-18,True,1,True,1,1.7,0.0
6,Ученик_6,11,07.12.2014,79397478786,student6@example.com,Дмитрий,Давно знаю,2025-03-29,8,6,2025-03-04,2025-03-05,30,35,Клиент,Северный,,Нет,vk.com/id123,0,4.5,0.013157894736842094,0,0.75,0.75,0.0,119,369,10-12,False,0,True,1,1.5625,0.7071067811865476
7,Ученик_7,11,20.11.2014,79407437181,student7@example.com,Анна,Давно знаю,2024-07-27,9,8,,,86,87,Клиент,Северный,Елена,Да,vk.com/id123,1,3.7,-0.024999999999999998,0,0.8888888888888888,0.8888888888888888,0.0,509,614,10-12,True,1,True,1,1.5,1.1313708498984762
8,Ученик_8,10,13.05.2015,79864411347,student8@example.com,Анна,Друг,2024-12-19,7,3,2025-02-01,,53,67,Бывший клиент,Северный,Елена,Да,vk.com/id123,0,2.63,0.010776792136178387,0,0.42857142857142855,0.42857142857142855,0.0,213,469,10-12,True,1,True,1,1.5714285714285714,0.7234178138070235
9,Ученик_9,10,02.03.2016,79949921299,student9@example.com,Ольга,Реклама,2025-07-21,3,3,,,55,64,Клиент,Южный,,Нет,,0,2.87,-0.005442978322337423,0,1.0,1.0,0.0,359,255,10-12,False,0,False,1,1.5,0.7201851613763411
10,Ученик_10,14,22.11.2011,79964029981,student10@example.com,Анна,Реклама,2024-08-08,3,3,,,71,82,Клиент,Южный,Елена,Нет,,0,3.01,0.009348378675460293,0,1.0,1.0,0.0,632,602,13-15,True,0,False,1,1.1666666666666667,0.7819389819088005
