client_id,full_name,age,birth_date,phone,email,responsible_manager,source,created_date,total_enrollments,total_attendances,first_attendance_date,last_attendance_date,attendance_days_span,lifetime_from_creation_to_last_attendance,student_status,branch,parent_info,subscribed_to_newsletter,vk,no_auto_notifications,diligence,base_attendance,risk,risk_score,avg_score,score_trend,academic_risk
1,Ученик_1,15,25.03.2011,79034126396,student1@example.com,Анна,Сайт,23.02.2025,6,5,01.03.2025,07.04.2025,37,43,Клиент,Основной,,Да,vk.com/id123,Да,0.7,0.859,0,0.185,3.61,-0.00605,0
2,Ученик_2,10,07.12.2015,79482334538,student2@example.com,Юлиана,Друг,15.04.2024,8,6,23.04.2024,11.07.2024,79,87,Бывший клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.068,0.675,1,0.96,1.0,-0.0,1
3,Ученик_3,10,01.04.2016,79109747451,student3@example.com,Дмитрий,Реклама,24.09.2024,5,5,02.10.2024,05.12.2024,64,72,Клиент,Основной,Елена,Да,vk.com/id123,Да,0.7,0.915,0,0.107,1.0,-0.0,1
4,Ученик_4,16,05.10.2009,79990307112,student4@example.com,Ольга,Сайт,31.01.2025,4,3,02.02.2025,05.04.2025,62,64,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.3,0.832,0,0.341,2.72,-0.01289,1
5,Ученик_5,16,07.11.2009,79830075810,student5@example.com,Ольга,Друг,12.11.2024,10,8,26.11.2024,16.02.2025,82,96,Клиент,Северный,Елена,Да,vk.com/id123,Нет,0.528,0.823,0,0.231,1.0,-0.0,1
6,Ученик_6,11,07.12.2014,79397478786,student6@example.com,Дмитрий,Давно знаю,29.03.2025,8,6,03.04.2025,03.05.2025,30,35,Клиент,Северный,,Нет,vk.com/id123,Нет,0.7,0.801,0,0.208,4.5,0.01316,0
7,Ученик_7,11,20.11.2014,79407437181,student7@example.com,Анна,Давно знаю,27.07.2024,9,8,28.07.2024,22.10.2024,86,87,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.923,0.79,0,0.0,3.7,-0.025,0
8,Ученик_8,10,13.05.2015,79864411347,student8@example.com,Анна,Друг,19.12.2024,7,3,02.01.2025,24.02.2025,53,67,Бывший клиент,Северный,Елена,Да,vk.com/id123,Нет,0.432,0.63,1,0.945,2.63,0.01078,0
9,Ученик_9,10,02.03.2016,79949921299,student9@example.com,Ольга,Реклама,21.07.2025,3,3,30.07.2025,23.09.2025,55,64,Клиент,Южный,,Нет,,Нет,0.334,0.854,0,0.305,2.87,-0.00544,0
10,Ученик_10,14,22.11.2011,79964029981,student10@example.com,Анна,Реклама,08.08.2024,3,3,19.08.2024,29.10.2024,71,82,Клиент,Южный,Елена,Нет,,Нет,0.493,0.95,0,0.096,3.01,0.00935,0
11,Ученик_11,12,14.12.2013,79673715057,student11@example.com,Дмитрий,Реклама,15.04.2025,6,6,26.04.2025,22.06.2025,57,68,Клиент,Основной,,Да,vk.com/id123,Нет,0.765,0.907,0,0.0,4.53,0.03074,0
12,Ученик_12,10,01.09.2015,79594021782,student12@example.com,Юлиана,Друг,31.10.2025,6,2,06.11.2025,13.12.2025,37,43,Бывший клиент,Основной,Елена,Нет,,Нет,0.202,0.627,1,0.949,2.77,0.00211,0
13,Ученик_13,13,06.02.2013,79315143362,student13@example.com,Ольга,Друг,09.11.2025,6,3,19.11.2025,21.12.2025,32,42,Бывший клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.303,0.574,1,0.959,3.35,0.0463,0
14,Ученик_14,13,04.04.2013,79164109919,student14@example.com,Анна,Сайт,16.03.2025,4,4,27.03.2025,23.06.2025,88,99,Клиент,Северный,Елена,Да,,Нет,0.7,0.837,0,0.181,1.66,-0.01093,1
15,Ученик_15,12,03.07.2013,79120117054,student15@example.com,Юлиана,Друг,01.02.2026,7,7,08.02.2026,20.04.2026,71,78,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.494,0.862,0,0.276,3.37,-0.01025,1
16,Ученик_16,14,31.10.2011,79876198296,student16@example.com,Юлиана,Реклама,26.09.2024,7,5,03.10.2024,03.11.2024,31,38,Клиент,Основной,,Да,vk.com/id123,Да,0.605,0.849,0,0.265,3.66,0.00328,0
17,Ученик_17,13,07.07.2012,79227416584,student17@example.com,Анна,Реклама,14.01.2025,10,7,21.01.2025,01.03.2025,39,46,Клиент,Южный,Елена,Да,,Да,0.3,0.798,0,0.41,3.27,0.00937,0
18,Ученик_18,14,18.04.2011,79965953266,student18@example.com,Ольга,Реклама,14.04.2025,8,6,25.04.2025,10.06.2025,46,57,Клиент,Южный,Елена,Нет,,Нет,0.356,0.771,0,0.322,2.33,-0.0159,1
19,Ученик_19,11,30.11.2014,79076228245,student19@example.com,Юлиана,Реклама,16.02.2025,7,7,28.02.2025,05.04.2025,36,48,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.464,0.95,0,0.253,3.22,-0.00197,0
20,Ученик_20,13,09.12.2012,79718309417,student20@example.com,Юлиана,Давно знаю,28.09.2025,10,8,09.10.2025,29.12.2025,81,92,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.3,0.817,0,0.397,3.42,-0.0128,1
21,Ученик_21,11,28.01.2015,79204451095,student21@example.com,Дмитрий,Друг,23.09.2024,7,7,25.09.2024,28.11.2024,64,66,Клиент,Основной,,Нет,,Нет,0.481,0.691,0,0.376,2.57,-0.01676,1
22,Ученик_22,12,28.08.2013,79432311310,student22@example.com,Дмитрий,Сайт,16.05.2024,5,5,29.05.2024,19.08.2024,82,95,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.677,0.88,0,0.0,1.65,-0.05,1
23,Ученик_23,12,09.02.2014,79452991960,student23@example.com,Анна,Реклама,10.08.2025,9,7,17.08.2025,02.10.2025,46,53,Клиент,Основной,,Нет,vk.com/id123,Нет,0.3,0.802,0,0.282,3.16,0.0135,0
24,Ученик_24,10,29.11.2015,79100140141,student24@example.com,Дмитрий,Давно знаю,11.02.2025,11,9,19.02.2025,28.03.2025,37,45,Клиент,Основной,Елена,Да,vk.com/id123,Нет,0.3,0.851,0,0.292,1.71,-0.01329,1
